Name,County,Address,Website,Phone
Alameda County Community Food Bank,Alameda,"7900 Edgewater Drive, Oakland, CA 94621",https://www.accfb.org,(510)635-3663
Food Bank of El Dorado County,Alpine,"4550 Business Dr., Cameron Park, CA 95682",https://foodbankedc.org,(530)621-9950
Interfaith Council of Amador,Amador,"12181 Airport Road, Jackson, CA 95642",https://www.feedamador.org,(209)267-9006
Community Action Agency of Butte County – North State Food Bank,Butte,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
The Resource Connection Food Bank,Calaveras,"444 E. St. Charles St., San Andreas, CA 95249",https://trcac.org/the-food-bank,(209)754-1257
Community Action Agency of Butte County – North State Food Bank,Colusa,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
Food Bank of Contra Costa & Solano,Contra Costa,"['4010 Nelson Ave., Concord, CA 94520', '2370 North Watney Way, Fairfield, CA 94533']",https://www.foodbankccs.org,(855)309-3663
Rural Human Services,Del Norte,"['286 M St # A, Crescent City, CA 95531', '1555 Gasquet Flat Rd, Gasquet, CA 95543', '121 N Beckstead Ave, Smith River, CA 95567', '219 Salmon Ave, Klamath, CA 95548']",http://ruralhumanservices.net,707-464-7441
Food Bank of El Dorado County,El Dorado,"4550 Business Dr., Cameron Park, CA 95682",https://foodbankedc.org,(530)621-9950
Central California Food Bank,Fresno,"4010 E Amendola Dr., Fresno, CA 93725",https://ccfoodbank.org,(559)237-3663
Community Action Agency of Butte County – North State Food Bank,Glenn,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
Food for People,Humboldt,"2112 Broadway St, Eureka, CA 95501",https://www.foodforpeople.org,(707)445-3166
Imperial Valley Food Bank,Imperial,"486 W Aten Rd, Imperial, CA 92251",http://www.ivfoodbank.com,(760)370-0966
Inyo Mono Advocates for Community Action (IMACA),Inyo,"137 E South St, Bishop, CA 93514",https://www.imaca.net,(760)873-8557
Community Action Partnership of Kern,Kern,"5005 Business Park North, Bakersfield, CA 93309",http://www.capk.org,(661)398-4520
Kings Community Action Organization,Kings,"1130 N. 11th Ave., Hanford, CA 93230",https://www.kcao.org,(559)582-4386
Clearlake Gleaners Inc,Lake,"1896 Big Valley Rd., Lakeport, CA 95453",https://getfood.refb.org/sites/clearlake-gleaners-finley,(707)263-8082
Los Angeles Regional Food Bank,Los Angeles,"1734 East 41st St, Los Angeles, CA 90058",https://www.lafoodbank.org,(323)234-3030
Westside Food Bank,Los Angeles,"1710 22nd St., Santa Monica, CA 90404",http://www.westsidefoodbankca.org,(310)828-6016
Madera County Food Bank,Madera,"225 S. Pine Street, Madera, CA 93637",https://www.maderafoodbank.com,(559)674-1482
SF-Marin Food Bank,Marin,"2550 Kerner Boulevard, San Rafael, CA 94901",https://www.sfmfoodbank.org,(415)282-1900
Merced County Food Bank,Mariposa,"2000 W Olive Ave., Merced, CA 95348",https://mmcfb.org,(209)726-3663
Mendocino Food & Nutrition Program – The Fort Bragg Food Bank,Mendocino,"910 N Franklin Street, Fort Bragg, CA 95437",http://www.fortbraggfoodbank.org,(707)964-9404
Merced County Food Bank,Merced,"2000 W Olive Ave., Merced, CA 95348",https://mmcfb.org,(209)726-3663
Inyo Mono Advocates for Community Action (IMACA),Mono,"180 Clarke St., Bishop, CA 93514",https://www.imaca.net,(760)873-8557
Food Bank for Monterey County,Monterey,"353 W Rossi St., Salinas, CA 93907",https://www.foodbankformontereycounty.org,(831)758-1523
Community Action of Napa Valley Food Bank,Napa,"2521 Old Sonoma Rd., Napa, CA 94558",http://canv.org,(707)253-6128
Food Bank of Nevada County,Nevada,"578 Sutton Way #187 Grass Valley, CA 95945",https://foodbankofnc.org,(530)272-3796
Orange County Food Bank,Orange,"11870 Monarch Street, Garden Grove, CA 92841",https://ocfoodbank.org,(714)897-6670
Second Harvest Food Bank Orange County,Orange,"8014 Marine Way, Irvine, CA 92618",https://www.feedoc.org,(949)653-2900
Placer Food Bank,Placer,"8284 Industrial Ave., Roseville, CA 95678",http://placerfoodbank.org,(916)783-0481
Community Action Agency of Butte County – North State Food Bank,Plumas,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
Feeding America Riverside San Bernardino,Riverside,"2950 Jefferson Street, Riverside, CA  92504",https://www.feedingamericaie.org,(951)359-4757
FIND – Food In Need of Distribution,Riverside,"83775 Citrus Ave, Indio, CA 92201",http://www.findfoodbank.org,(760)775-3663
Sacramento Food Bank and Family Services,Sacramento,"1951 Bell Avenue, Sacramento, CA 95838",https://www.sacramentofoodbank.org,(916)456-1980
Community Food Bank of San Benito County,San Benito,"1133 San Felipe Road, Hollister, CA 95023",https://communityfoodbankofsbc.org,(831)637-0340
Community Action Partnership of San Bernardino County,San Bernardino,"696 S. Tippecanoe Ave, San Bernardino, CA 92408-2607",https://www.capsbc.org,(909)723-1500
Feeding America Riverside San Bernardino,San Bernardino,"2950 Jefferson Street, Riverside, CA  92504",https://www.feedingamericaie.org,(951)359-4757
Feeding San Diego,San Diego,"9477 Waples St., Ste. 100, San Diego, CA 92121",https://feedingsandiego.org,(858)452-3663
The Jacobs & Cushman San Diego Food Bank,San Diego,"9850 Distribution Avenue, San Diego, CA 92121-2320",https://sandiegofoodbank.org,(858)527-1419
SF-Marin Food Bank,San Francisco,"900 Pennsylvania Avenue, San Francisco, CA 94107",https://www.sfmfoodbank.org,(415)282-1900
Emergency Food Bank,San Joaquin,"7 W. Scotts Avenue, Stockton, CA 95203",http://www.stocktonfoodbank.org,(209)464-7369
Second Harvest of the Greater Valley,San Joaquin,"1220 Vanderbilt Cir., Manteca, CA 95337",https://www.localfoodbank.org,(209)239-2091
SLO Food Bank,San Luis Obispo,"1180 Kendall Rd, San Luis Obispo, CA 93401",https://www.slofoodbank.org,(805)238-4664
Second Harvest of Silicon Valley,San Mateo,"['750 Curtner Avenue, San Jose, CA 95125', '4001 North First Street, San Jose, CA 95134', '1051 Bing Street, San Carlos, CA 94070']",https://www.shfb.org,408-266-8866
Foodbank of Santa Barbara,Santa Barbara,"['490 W. Foster Rd., Santa Maria, CA 93455', '4554 Hollister Ave., Santa Barbara, CA 93110']",https://foodbanksbc.org,(805)967-5741
Second Harvest of Silicon Valley,Santa Clara,"['750 Curtner Avenue, San Jose, CA 95125', '4001 North First Street, San Jose, CA 95134', '1051 Bing Street, San Carlos, CA 94070']",https://www.shfb.org,408-266-8866
Second Harvest Food Bank Santa Cruz County,Santa Cruz,"800 Ohlone Parkway, Watsonville, CA 95076",https://www.thefoodbank.org,(831)722-7110
Dignity Health Connected Living,Shasta,"100 Mercy Oaks Dr, Redding, CA 96003",https://www.dignityhealth.org/north-state/locations/connected-living/services/food-bank,(530)226-3073
Community Action Agency of Butte County – North State Food Bank,Sierra,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
Great Northern Services,Siskiyou,"310 Boles Street, Weed, CA 96094",https://www.gnservices.org,(530)938-4115
Food Bank of Contra Costa & Solano,Solano,"['2370 North Watney Way, Fairfield, CA 94533', '4010 Nelson Ave., Concord, CA 94520']",https://www.foodbankccs.org,(855)309-3663
Redwood Empire Food Bank,Sonoma,"3990 Brickway Blvd., Santa Rosa, CA 95403",https://refb.org,(707)523-7900
Second Harvest of the Greater Valley,Stanislaus,"​1220 Vanderbilt Cir., Manteca, CA 95337",https://www.localfoodbank.org,(209)239-2091
Yuba-Sutter Food Bank,Sutter,"760 Stafford Way, Yuba City, CA 95991",https://feedingys.org/,(530)673-3834
Community Action Agency of Butte County – North State Food Bank,Tehama,"181 E. Shasta Avenue, Chico, CA 95973",https://www.buttecaa.com/north-state-food-bank,(530)712-2600
Trinity County Food Bank,Trinity,"51B Memorial Drive, Weaverivlle, CA  96093",http://trinitycountyfoodbank.org,(530)739-0983
FoodLink for Tulare County,Tulare,"611 2nd Street, Exeter, CA 93221",http://foodlinktc.org,(559)651-3663
ATCAA Food Bank – Tuolumne County,Tuolumne,"427 N. Highway 49, Suite 305, Sonora, CA. 95370",https://www.atcaa.org/food-bank,(209)984-3960
FOOD Share of Ventura County,Ventura,"4156 Southbank Road, Oxnard, CA 93036",https://foodshare.com,(805)983-7100
Yolo Food Bank,Yolo,"233 Harter Ave, Woodland, CA 95776",https://yolofoodbank.org,(530)668-0690
Yuba-Sutter Food Bank,Yuba,"760 Stafford Way, Yuba City, CA 95991",https://feedingys.org/,(530)673-3834
